Question Number,Question,Concepts
1,"If the sizes of charged bodies are very small compared to the distances between them, we treat them as ____________.",point charges
2,What is the dielectric constant of a metal?,dielectric constant
3,"————— gives the information on field strength, direction, and nature of the charge.",electric field lines
4,The work done in moving a unit positive test charge over a closed path in an electric field is _____________.,conservative electric field; torque on dipole in magnetic field; em wave phase
5,What happens when a glass rod is rubbed with silk?,charging by friction
6,What is the formula to find the work done in rotating the dipole in a uniform magnetic field from θ1 to θ2?,conservative electric field; torque on dipole in magnetic field; magnetic dipole moment; em wave phase
7,The magnetic dipole moment of a magnetic dipole is given by the formula ________.,magnetic dipole moment
8,A freely suspended magnet aligns in which direction?,earth’s magnetic field
9,The power factor is one for which of the following?,power factor in ac circuits
10,Which of the following statements is true about the LCR circuit connected to an AC source at resonance?,resonance in lcr circuit
11,How can the fringe width increase in Young’s double-slit experiment?,interference pattern
12,Which of the following light phenomena confirms the transverse nature of light?,polarization
13,Polaroid glasses are used in sunglasses because,polarization
14,Which of the following does the wave theory of light not explain?,limitations of wave theory
15,Which of the following is conserved when light waves interfere?,principle of superposition
16,What is the geometric shape of the wavefront that originates when a plane wave passes through a convex lens?,lens wavefront transformation
17,"A radioactive nucleus emits a beta particle, then the parent and daughter nuclei are",beta decay
18,A nucleus undergoes gamma decay due to,gamma decay
19,Isotones have the same number of,isotones
20,What is the phase difference between electric and magnetic fields in an electromagnetic wave?,torque on dipole in magnetic field; em wave phase
